make,model_principal,alias
Dodge,B1500/B2500 Wagon,b1500/b2500 wagon 2wd
Chevrolet,Blazer,blazer 2wd
Plymouth,Turismo,turismo
Honda,Civic,civic hx
Mazda,Mx-6,mx-6
Volkswagen,Jetta,jetta glx
Rolls-Royce,Brooklands/Turbo R,brooklands and (lwb)
Audi,A6,a6 wagon
Toyota,Corolla,corolla wagon
Gmc,Jimmy,jimmy 4wd
Volvo,240,240 dl/gl/turbo
Hyundai,Tiburon,tiburon (coupe)
Mitsubishi,3000 Gt Spyder,3000 gt spyder
Subaru,Svx,svx awd
Volkswagen,Cabrio,cabrio
Rolls-Royce,Corniche/Continental,continental r
Chrysler,Newport/Fifth Avenue,newport/fifth avenue
Audi,A8,a8
Buick,Regal/Century,regal/century
Mercury,Marquis,marquis
Gmc,Safari Passenger,safari awd (passenger)
Chevrolet,Venture,venture 2wd
Geo,Tracker,tracker van 4x4
Jaguar,Xk8,xk8 convertible
Toyota,Supra,supra
Ford,Escort,escort zx2
Daewoo,Nubira,nubira
Jaguar,Xjr,xjr
Volvo,C70,c70
Bentley,Brooklands,brooklands r
Cadillac,Eldorado,eldorado
Pontiac,Sunbird,sunbird wagon
Ford,Windstar,windstar fwd wagon
Plymouth,Reliant,reliant wagon
Mitsubishi,Nativa,nativa 4wd
Acura,Cl,2.3cl/3.0cl
Chevrolet,Prizm,prizm
Dodge,Neon,neon
Jeep,Scrambler,scrambler
Daewoo,Leganza,leganza
Plymouth,Breeze,breeze
Oldsmobile,Eighty-Eight/Regency,eighty-eight/regency
Daewoo,Nubira,nubira station wagon
Dodge,B1500 Van,b1500 van 2wd
Toyota,Rav4,rav4 soft top 4wd
Jaguar,Xkr,xkr convertible
Chrysler,Sebring,sebring convertible
Lincoln,Continental,continental
Bmw,5 Series,528i sport wagon
Gmc,Savana Cargo,savana 1500/2500 2wd (cargo)
Ford,Postal Vehicle,postal vehicle
Suzuki,Vitara,vitara 2door 2wd
Chevrolet,Tracker,tracker 4wd hardtop
Mazda,B Pickup,b3000 ffv 2wd
Bmw,M,m5
Mercedes-Benz,E-Class,e430
Isuzu,Trooper,trooper 2wd
Infiniti,Qx4,qx4 4wd
Toyota,Rav4,rav4 ev
Porsche,928,928 s
Bmw,3 Series,325i
Lexus,Is,is 300
Chevrolet,Sprint,sprint plus
Saab,9-3,9-3
Buick,Rendezvous,rendezvous fwd
Chevrolet,Tracker,tracker 2wd hardtop
Isuzu,Rodeo,rodeo sport 2wd
Pontiac,Aztek,aztek fwd
Chevrolet,Blazer,blazer 4wd
Isuzu,Axiom,axiom 4wd
Honda,S2000,s2000
Aston Martin,Db-7 Gt,db-7 gt volante
Aston Martin,Db-7 Vantage,db-7 vantage coupe
Jaguar,Xj,xj8
Mercedes-Benz,C-Class,c320 4matic
Volkswagen,Passat,passat 4motion
Chrysler,Sebring,sebring 4 door
Toyota,Matrix,matrix awd
Mazda,B Pickup,b3000 4wd
Chevrolet,Express Passenger,express 1500 awd
Pontiac,Sunbird,sunbird convertible
Lincoln,Nautilus,nautilus awd
Mercedes-Benz,Sl-Class,amg sl63 4matic plus
Bmw,8 Series,m850i xdrive convertible
Mini,John Cooper Works,john cooper works hardtop 2 door
Bmw,M,m8 competition gran coupe
Subaru,Impreza,impreza
Bmw,X5,x5 xdrive40i
Mercedes-Benz,Gle-Class,gle450 4matic
Bmw,Z4,z4 m40i
Hyundai,Palisade,palisade fwd
Bmw,X3,x3 xdrive30i
Mitsubishi,Eclipse Cross,eclipse cross 4wd
Cadillac,Ct4,ct4
Lexus,Es,es 250 awd
Dacia,Station Wagon,station wagon
Jeep,Grand Wagoneer,grand wagoneer 4wd
Polestar,2,2 dual motor performance pack
Nissan,Ariya,ariya eng plus/evo plus e-4orce 87kwh
Audi,S5,s5 coupe
Honda,Accord,accord hybrid sport/touring
Volkswagen,Tiguan,tiguan r-line 4motion
Audi,5000,5000s wagon
Honda,Pilot,pilot awd trailsport
Land Rover,Defender,defender 110 mhev
Land Rover,Discovery,discovery mhev
Land Rover,Range Rover,range rover sport p360 mhev
Maserati,Mc20,mc20 spyder
Ford,Maverick,maverick fwd
Porsche,Taycan,taycan turbo s
Subaru,Solterra,solterra awd
Toyota,Corolla Cross,corolla cross hybrid awd
Eagle,Renault Medallion,renault medallion wagon
Toyota,Tacoma,tacoma sr5/sport/off-road/limited 4wd
Chevrolet,Traverse,traverse limited awd
Mercedes-Benz,G-Class,amg g63 4x4 squared
Lexus,Ux,ux 300h awd
Bmw,X5,x5 m competition
Porsche,911,911 s/t
Lexus,Rz,rz 450e awd (18 inch wheels)
Mercedes-Benz,Eqs,eqs 580 4matic (suv)
Rivian,R1T,r1t all-terrain dual standard plus (20in)
Rivian,R1T,r1t dual large (22in)
Rivian,R1S,r1s all-terrain performance dual large (20in)
Rivian,R1S,r1s at performance dual standard plus (20in)
Mercedes-Benz,Glb-Class,glb250
Gmc,Pickup,c25 pickup 2wd
Dodge,Ramcharger,ad100/ad150 ramcharger 2wd
Nissan,Stanza,stanza wagon 4wd
Ford,Bronco Ii,bronco ii 4wd
Cadillac,Commercial Chassis,commercial chassis
Ferrari,348 Tb/Ts,348 tb/ts
Audi,80/90,80/90
Pontiac,Firefly,firefly
Subaru,Justy,justy 4wd
Sterling,827,827
Plymouth,Horizon,horizon
Pontiac,Parisienne,parisienne
Oldsmobile,Cutlass Ciera,cutlass ciera
Nissan,Sentra,sentra wagon 4wd
Dodge,Colt,colt vista
Jeep,Comanche Pickup,comanche pickup 2wd
Toyota,Van,van 4wd (passenger)
Mazda,Mpv,mpv 4wd
Plymouth,Colt,colt wagon 4wd
Toyota,Tercel,tercel
Isuzu,Stylus,stylus
Peugeot,405,405 station wagon
Oldsmobile,Custom Cruiser,custom cruiser
Ford,Aerostar Wagon,aerostar wagon
Chevrolet,Suburban,suburban v1500 4wd
Dodge,Raider,raider 4wd
Acura,Nsx,nsx
Alfa Romeo,Spider,spider
Mercury,Capri,capri
Porsche,911,911 carrera 4/2
Dodge,Dynasty,dynasty
Infiniti,Q45,q45 full-active suspension
Chrysler,Laser,laser
Rolls-Royce,Silver Spirit Ii/Silver Spur,silver spirit ii/silver spur
Toyota,Corolla,corolla all-trac wagon
Toyota,Truck/T100,1-ton truck 2wd
Chevrolet,Suburban,r1500 suburban 2wd
Consulier Industries Inc,Consulier Gtp,consulier gtp
Dodge,Shadow,shadow convertible
Ferrari,Mondial T/Cabriolet,mondial t/cabriolet
Isuzu,Impulse,impulse
Mercedes-Benz,500,500sec
Volkswagen,Golf/Gti,golf/gti
Volvo,740/760,740
Volvo,940,940
Cadillac,Fleetwood/Deville,fleetwood/deville
Chrysler,Imperial/New Yorker Fifth Avenue,imperial/new yorker fifth avenue
Subaru,Legacy/Outback,legacy wagon
Jeep,J-10 Pickup,j-10 pickup truck
Ford,Aerostar Van,aerostar van
Gmc,Vandura,g35 vandura 2wd
Saab,Convertible,convertible
Chevrolet,Trailblazer,trailblazer 2wd
Mercedes-Benz,Slk-Class,slk320
Porsche,Targa,targa
Acura,Rsx,rsx
Buick,Somerset/Skylark,somerset/skylark
Infiniti,I35,i35
Mitsubishi,Diamante,diamante sedan
Scion,Xb,xb
Suzuki,Vitara,vitara 4 door
Lincoln,Aviator,aviator 4wd
Oldsmobile,Bravada,bravada awd
Chevrolet,Silverado,silverado 2500 hd 2wd cng
Audi,Tt Roadster,tt roadster quattro
Ferrari,360 Modena/Spider/Challenge,360 modena/spider/challenge
Lamborghini,Gallardo,l-140/141 gallardo
Bmw,3 Series,325ci convertible
Bmw,3 Series,330ci convertible
Porsche,Turbo 4 911 Cab,turbo 4 911 cab
Porsche,Turbo 4 911 Kit,turbo 4 911 kit
Maserati,Coupe And Gransport,coupe and gransport
Mercedes-Benz,Clk-Class,clk55 amg
Mercedes-Benz,C-Class,c230 kompressor
Mercedes-Benz,C-Class,c320 sports coupe
Chevrolet,Classic,classic
Saab,9-2,9-2x wagon awd
Suzuki,Forenza,forenza wagon
Gmc,Sierra,sierra 15 hybrid 2wd
Mazda,B Pickup,b4000 4wd
Suzuki,Grand Vitara,grand vitara xl7
Dodge,Diplomat,diplomat
Buick,Rainier,rainier awd
Chevrolet,Tahoe,tahoe 1500 awd
Gmc,Envoy,envoy xuv 4wd
Mercury,Mountaineer,mountaineer ffv 2wd
Chevrolet,Suburban,suburban 1500 awd
Lamborghini,Gallardo,l-140/715 gallardo
Scion,Xa,xa
Mercedes-Benz,C-Class,c350
Cadillac,Fleetwood Brougham,fleetwood brougham
Saab,9-3,9-3 sportcombi
Pontiac,Torrent,torrent awd
Honda,Pilot,pilot 2wd
Lexus,Rx,rx 330 2wd
Gmc,Yukon,yukon 1500 4wd
Jeep,Wrangler/Tj,wrangler/tj 4wd
Mitsubishi,Endeavor,endeavor 4wd
Kia,Optima,optima (2006 new model)
Infiniti,Fx35,fx35 rwd
Infiniti,Fx35,fx35 awd
Spyker,C8,c8 laviolette
Mercedes-Benz,S-Class,s600
Honda,Civic,civic cng
Pontiac,G5,g5/pursuit
Peugeot,505,505 station wagon
Mercedes-Benz,E-Class,e63 amg (wagon)
Saturn,Vue,vue hybrid
Infiniti,G35,g35x
Saab,9-5,9-5 sedan
Kia,Sorento,sorento 4wd
Saturn,Outlook,outlook awd
Lincoln,Mkx,mkx fwd
Aston Martin,Vantage,v8 vantage asm
Mercedes-Benz,G-Class,g500
Mazda,Tribute,tribute fwd
Porsche,911,911 turbo cabriolet
Mercedes-Benz,E-Class,e320 bluetec
Mercedes-Benz,E-Class,e350 4matic (wagon)
Jeep,Liberty,liberty 2wd
Lincoln,Navigator,navigator 2wd
Suzuki,Sx4,sx4 awd
Lexus,Gs,gs 350
Chrysler,Aspen,aspen 2wd
Hyundai,Veracruz,veracruz 4wd
Lexus,Is,is 350
Audi,S5,s5
"Tecstar, Lp",Foose F150,foose f150 super cab 4wd
Bmw,X6,x6 xdrive50i
Mazda,Rx-8,rx-8
Scion,Tc,tc
Jaguar,Xf,xf
Mazda,Cx-7,cx-7 4wd
Bentley,Continental,continental gtc
Pontiac,G5,g5 xfe
Volvo,C30,c30 fwd
Mercedes-Benz,Clk-Class,clk550 (cabriolet)
Bmw,5 Series,528i
Mercedes-Benz,E-Class,e350
Mercedes-Benz,E-Class,e550
Gmc,Savana Cargo,savana 1500 2wd (cargo)
Ford,Crown Victoria,crown victoria ffv
Gmc,Yukon,yukon 1500 xfe 2wd
Cadillac,Cts,cts
Lincoln,Mks,mks awd
Bmw,5 Series,535i sport wagon xdrive
Toyota,Sequoia,sequoia 4wd ffv
Mercedes-Benz,190,190 d 2.2/190 e 2.3
Kenyon Corporation Of America,Kenyon 5.0 Sp Sedan,kenyon 5.0 sp sedan
Pontiac,Sunbird,2000 sunbird wagon
Mercury,Marquis,marquis wagon
Pontiac,Parisienne,parisienne wagon
Nissan,Pickup,pickup 2wd
Dodge,Rampage Pickup,rampage pickup 2wd
Jeep,Scrambler Pickup,scrambler pickup 4wd
Chevrolet,S10 Utility Body,s10 utility body 2wd
American Motors Corporation,Eagle,eagle 4wd
Suzuki,Sj 410,sj 410 4wd
Jeep,Cherokee/Wagoneer,cherokee/wagoneer 2wd
Renault,Fuego,fuego
Buick,Riviera,riviera convertible
Oldsmobile,Omega,omega
Cadillac,Brougham/Deville,brougham/deville (rwd)
Buick,Skyhawk,skyhawk wagon
Toyota,Tercel,tercel wagon
Infiniti,Q50,q50 awd
Porsche,Macan,macan turbo
Jeep,Comanche,comanche 2wd
Hyundai,Tucson,tucson eco fwd
Maserati,Quattroporte,quattroporte sq4 v6
Nissan,Titan,titan 4wd  pro4x
Buick,Encore,encore
Bmw,I8,i8
Volkswagen,Beetle,beetle
Subaru,Impreza/Outback Sport,impreza sport 5-door
Kia,Optima,optima plug-in hybrid
Lamborghini,Aventador,aventador roadster lp740-4
Ford,Focus,focus st fwd
Bmw,M,m6 gran coupe
Maserati,Ghibli,ghibli v6 sq4 awd
Volvo,S60,s60 inscription fwd
Volvo,S60,s60 cc awd
Lamborghini,Aventador,aventador s roadster
Mercedes-Benz,Gle-Class,amg gle63
Dodge,Challenger,challenger srt
Bmw,2 Series,m240i xdrive convertible
Mercedes-Benz,E-Class,e300 4matic
Porsche,911,911 turbo s cabriolet
Porsche,Cayenne,cayenne gts
Audi,A8,a8 l
Chevrolet,Spark,spark activ
Chrysler,Pacifica,pacifica hybrid
Porsche,911,911 gt3
Aston Martin,Db11,db11 v12
Aston Martin,Vanquish,vanquish s zagato
Hyundai,Ioniq,ioniq blue
Hyundai,Tucson,tucson fwd
Mercedes-Benz,S-Class,amg s65
Jaguar,E-Pace,e-pace (296 hp)
Tesla,Model X,model x 100d
Mitsubishi,Eclipse Cross,eclipse cross 2wd
Buick,Envision,envision fwd
Bmw,4 Series,440i convertible
Mini,Cooper,cooper hardtop 4 door
Ferrari,488 Gtb,488 gtb
Subaru,Impreza,impreza sport 5-door
Cadillac,Ats,ats-v
Chevrolet,Tahoe,tahoe c1500 2wd
Bmw,2 Series,230i coupe
Bmw,M,m4 cs
Maserati,Quattroporte,quattroporte s
Gmc,Jimmy,v15 jimmy 4wd
Mitsubishi,Outlander,outlander sport 4wd
Honda,Cr-V,cr-v awd
Plymouth,Colt,colt vista 4wd
Maserati,Levante,levante gts
Chevrolet,Silverado,silverado k10 4wd
Mazda,2,2
Tesla,Model S,model s 100d
Tesla,Model X,model x p100d
Chevrolet,Corvette,corvette convertible
Ruf Automobile,Ruf Turbo 12/Ctr3,ruf turbo 12/ctr3
Hyundai,Palisade,palisade awd
Bmw,M,m240i xdrive coupe
Bmw,4 Series,430i coupe
Bmw,M,m760i xdrive
Hyundai,Veloster,veloster n
Tesla,Model 3,model 3 standard range plus
Ford,Transit Connect,transit connect wagon lwb ffv
Tesla,Model X,model x performance (22in wheels)
Subaru,Wrx,wrx
Pontiac,Firefly,turbo firefly
Mini,Clubman,cooper s clubman
Maserati,Quattroporte,quattroporte sq4
Gmc,Sierra,sierra cab chassis 4wd
Porsche,Panamera,panamera gts
Volvo,Xc90,xc90 awd phev
Bmw,M,m8 convertible
Mercedes-Benz,Amg Gt,amg gt c roadster
Sti,S209,s209
Toyota,Rav4,rav4 hybrid awd
Chevrolet,Sprint,sprint
Tesla,Model 3,model 3 long range performance awd (20in)
Tesla,Model S,model s long range
Mazda,Cx-30,cx-30 2wd
Kia,Seltos,seltos fwd
Cadillac,Ct4,ct4 v awd
Hyundai,Sonata,sonata hybrid
Bmw,M,m2 cs coupe
Chevrolet,Tahoe,tahoe 2wd
Ferrari,Portofino,portofino
Bmw,M,m2 competition coupe
Jeep,Wrangler,wrangler 4dr ecodiesel 4wd
Bmw,8 Series,840i convertible
Audi,Rs Q8,rs q8
Jeep,Renegade,renegade 2wd
Maserati,Ghibli,ghibli trofeo
Land Rover,Range Rover,range rover sport phev
Mercedes-Benz,E-Class,e450 4matic coupe
Lotus,Evora,evora gt
Ford,Bronco Sport,bronco sport 4wd
Land Rover,Evoque,evoque
Land Rover,Range Rover,range rover velar p340 mhev
Nissan,Kicks,kicks
Subaru,Legacy,legacy awd
Chevrolet,Silverado,silverado 4wd trailboss
Audi,A5,a5 coupe quattro
Alfa Romeo,Stelvio,stelvio awd
Bmw,X7,alpina xb7
Nissan,Armada,armada 4wd
Toyota,Sienna,sienna 2wd
Porsche,Panamera,panamera 4 st
Toyota,Highlander,highlander hybrid awd ltd/plat
Mclaren Automotive,720S Coupe,720s coupe lm
Audi,E-Tron S,e-tron s (21/22 inch wheels)
Jaguar,F-Type,f-type coupe
Kia,Stinger,stinger awd
Mazda,Cx-50,cx-50 4wd
Ford,F-150 Lightning,f-150 lightning 4wd extended range
Lamborghini,Huracan,huracan coupe 2wd
Acura,Integra,integra a-spec
Maserati,Ghibli,ghibli modena rwd
Acura,Mdx,mdx awd
Bmw,M,m4 competition m xdrive convertible
Cadillac,Ct4,ct4 v
Volvo,Xc60,xc60 b5
Audi,R8,r8 coupe quattro
Audi,A7,a7
Volkswagen,Atlas,atlas cross sport 4motion
Toyota,Sequoia,sequoia 2wd
Hyundai,Elantra,elantra n
Mercedes-Benz,Gle-Class,gle350
Bugatti,Chiron,chiron
Honda,Passport,passport awd
Bmw,I4,i4 edrive40 gran coupe (18 inch wheels)
Lexus,Lc,lc 500 convertible
Porsche,911,911 carrera gts cabriolet
Bmw,5 Series,540i sedan
Lexus,Nx,nx 350h awd
Tesla,Model 3,model 3 performance awd
Mercedes-Benz,Gla-Class,amg gla45 4matic
Mazda,Cx-30,cx-30 4wd
Jeep,Wagoneer,wagoneer l 4wd
Dodge,Challenger,challenger srt widebody
Mercedes-Benz,Gla-Class,amg gla35 4matic
Buick,Century Estate Wagon,century estate wagon
Gmc,Suburban,k15 suburban 4wd
Dodge,Power Ram 50 Pickup,power ram 50 pickup 4wd
Ford,F250,f250 pickup cab chassis 2wd
Chevrolet,Cobalt,cobalt xfe coupe
Hyundai,Azera,azera
Ford,Flex,flex awd
Yugo,Gv Plus/Gv/Cabrio,gv plus/gv/cabrio
Honda,Civic,civic crx hf
Lotus,Esprit,esprit v8
Porsche,911,911 gt3 rs
Gmc,Savana Passenger,savana 1500 2wd (passenger)
Jeep,Commander,commander 2wd
Ford,Escape,escape 4wd ffv
Porsche,944,944
Saab,9-3,9-3x sportcombi awd
Nissan,Pathfinder,pathfinder fe 2wd
Nissan,Titan,titan fe 2wd ffv
Mitsubishi,Montero Sport,montero sport 4wd
Mitsubishi,Raider Pickup,raider pickup 2wd
Toyota,Rav4,rav4 4wd
Mini,Clubman,clubman
Bmw,1 Series,135i
Chevrolet,Chevette,chevette cs
Dodge,Viper,viper coupe
Mercedes-Benz,Sl-Class,sl65 amg
Bmw,3 Series,335i
Mercury,Milan,milan fwd
Porsche,Panamera,panamera
Mitsubishi,Lancer,lancer sportback
Mercury,Mariner,mariner hybrid fwd
Lexus,Es,es 350
Toyota,Fj Cruiser,fj cruiser 4wd
Saab,9-5,9-5 sedan awd
Porsche,Cayenne,cayenne s hybrid
Smart,Fortwo,fortwo electric drive cabriolet
Porsche,911,911 gts
Bmw,7 Series,750li xdrive
Toyota,Corolla,corolla fx
Volkswagen,Scirocco,scirocco
Scion,Iq,iq
Maserati,Granturismo,granturismo convertible
Chevrolet,Captiva,captiva fwd
Ford,Expedition,expedition 2wd ffv
Saab,9-4,9-4x fwd
Gmc,Yukon,yukon xl 2500 4wd
Bmw,Z4,z4 sdrive35i
Mitsubishi,Lancer,lancer awd
Lincoln,Mkt,mkt awd
Chevrolet,Express Cargo,express 1500 awd conversion cargo
Mazda,323,323
Volkswagen,Eos,eos
Lamborghini,Gallardo,gallardo spyder
Mercedes-Benz,C-Class,c63 amg black series coupe
Mercedes-Benz,G-Class,g63 amg
Mini,Countryman,cooper s countryman coupe
Dodge,Avenger,avenger
Subaru,Sedan,sedan/3 door
Nissan,Cube,cube
Bmw,M,m6 convertible
Nissan,Leaf,leaf
Lamborghini,Aventador,aventador roadster
Mercedes-Benz,Cl-Class,cl63 amg
Volvo,Xc60,xc60 fwd
Ferrari,458 Spider,458 spider
Audi,Rs 7,rs 7
Infiniti,Q50,q50a
Chrysler,200,200 convertible
Bmw,4 Series,428i xdrive coupe
Ford,Transit Connect,transit connect wagon fwd
Ford,Transit Connect,transit connect wagon lwb fwd
Gmc,Yukon,yukon k1500 xl 4wd
Bmw,X1,x1 xdrive35i
Volvo,Xc70,xc70 fwd
Bmw,X3,x3 xdrive35i
Lamborghini,Huracan,huracan
Audi,Rs 5,rs 5
Dodge,Journey,journey fwd
Cadillac,Elr,elr
Bmw,2 Series,228i xdrive
Toyota,Tercel,tercel wagon 4wd
Honda,Accord,accord hybrid
Cadillac,Escalade,escalade 4wd
Mercedes-Benz,E-Class,e400
Mercedes-Benz,Cls-Class,cls400
Ford,Focus,focus sfe fwd
Nissan,Rogue,rogue select awd
Bmw,M,x5 m
Tesla,Model S,model s awd - 70d
Kia,Sportage,sportage fwd
Pagani,Huayra Coupe,huayra coupe
Buick,Lacrosse,lacrosse awd
Mercedes-Benz,Slk-Class,amg slk55
Gmc,Yukon,yukon c1500 2wd
Mini,Paceman,cooper s paceman
Mercedes-Benz,Gl-Class,gl550 4matic
Porsche,Panamera,panamera s e-hybrid
Bmw,3 Series,335i xdrive gran turismo
Kia,Optima,optima fe
Infiniti,Qx80,qx80 2wd
Infiniti,Q70,q70 awd
Ford,Taurus,taurus fwd
Tesla,Model S,model s (90 kw-hr battery pack)
Audi,S8,s8
Infiniti,Qx4,qx4 2wd
Nissan,Xterra,xterra v6 2wd
Pontiac,Aztek,aztek awd
Gmc,Yukon,yukon 1500 awd
Nissan,350Z,350z
Mercedes-Benz,Clk-Class,clk500 (cabriolet)
Subaru,Legacy/Outback,legacy/outback awd
Volvo,S60,s60 r awd
Gmc,Savana Passenger,savana 1500 awd (passenger)
Nissan,Murano,murano 2wd
Honda,Pilot,pilot 4wd
Isuzu,Ascender,ascender 4wd
Ferrari,575 M Maranello And Superamerica,575 m maranello and superamerica
Audi,A4,a4 cabriolet quattro
Bmw,3 Series,330ci
Jaguar,Xk8,xk8
Kia,Amanti,amanti
Chevrolet,Optra,optra wagon
Saturn,Relay,relay awd
Gmc,Envoy,envoy xuv 2wd
Audi,Allroad,allroad quattro
Chevrolet,Trailblazer,trailblazer 4wd
Mercedes-Benz,C-Class,c320 ffv
Ford,Explorer,explorer sport trac 2wd ffv
Lincoln,Mark Vii,mark vii
Lexus,Gx,gx 470
Mercedes-Benz,Sl-Class,sl600
Mercedes-Benz,Slr,slr
Pontiac,Solstice,solstice
Bmw,3 Series,330xi
Lexus,Ls,ls 430
Volvo,V50,v50 awd
Gmc,Sierra,sierra 15 hybrid 4wd
Ford,Freestar,freestar cargo van fwd
Pontiac,Montana,montana sv6 fwd
Buick,Rainier,rainier 2wd
Chevrolet,Trailblazer,trailblazer ext 4wd
Honda,Civic,civic wagon 4wd
Jeep,Liberty/Cherokee,liberty/cherokee 4wd
Mazda,Glc,glc wagon
Chevrolet,Silverado,silverado classic 1500 2wd
Gmc,Sierra,sierra classic 15 hybrid 4wd
Mercedes-Benz,C-Class,c350 4matic
Chevrolet,Malibu,malibu maxx
Chevrolet,Caprice,caprice wagon
Roush Performance,F150,stage 3 f-150 2wd
Aston Martin,Db9,db9 volante manual
Ferrari,612 Scaglietti,612 scaglietti
Mitsubishi,Raider Pickup,raider pickup 4wd
Toyota,Highlander,highlander hybrid 2wd
Mercury,Mountaineer,mountaineer 4wd
Bmw,7 Series,750i
Chevrolet,Uplander,uplander fwd
Volvo,S60,s60 awd
Chrysler,Pacifica,pacifica fwd
Dodge,Nitro,nitro 2wd
Jeep,Wrangler,wrangler 2wd
Infiniti,Fx45,fx45 awd
Mercedes-Benz,Ml-Class,ml550 4matic
Gmc,Savana Cargo,savana 1500/2500 awd (cargo)
Bmw,3 Series,335cxi
Lexus,Gs,gs 350 awd
Roush Performance,F150,stage 3 f150 regular cab 4wd
Bmw,X5,x5 4.8i
Dodge,Magnum,magnum awd
Saab,9-3,9-3 aero sportcombi awd
Mercedes-Benz,Slk-Class,slk300
Mini,Clubman,john cooper works clubman
Jaguar,Xf,xf supercharged
Rolls-Royce,Phantom,phantom ewb
Pontiac,Torrent,torrent fwd
Porsche,Carrera 2 S Coupe,carrera 2 s coupe
Honda,Accord,accord coupe
Jaguar,Xk,xk convertible
Ford,Fusion,fusion awd
Lexus,Rx,rx 350 2wd
Kia,Borrego,borrego 4wd
Alfa Romeo,Gt,gt v6 2.5
Audi,Coupe Gt,coupe gt
Peugeot,604,604 sedan
Pontiac,Sunbird,2000 sunbird
Mercedes-Benz,300,300td
Volvo,240,240 dl/gl/turbo wagon
Superior Coaches Div E.P. Dutton,Funeral Coach,funeral coach  2wd
Porsche,911,911 sc
Chevrolet,Citation Ii,citation ii
Pontiac,Phoenix,phoenix
Subaru,Loyale,loyale
Volkswagen,Golf/Gti,golf iii / gti
Chrysler,Fifth Avenue/Imperial,fifth avenue/imperial
Mercury,Villager,villager fwd van
Geo,Tracker,tracker convertible 4wd
Isuzu,Amigo,amigo 4wd
Suzuki,Sidekick,sidekick hardtop 4wd
Infiniti,G20,g20
Mercedes-Benz,E-Class,e500
Mercedes-Benz,S-Class,s600 sedan
Rolls-Royce,Silver Spur Iii Limousine,silver spur iii limousine
Chevrolet,G30 Van,g30 van 2wd
Gmc,Vandura,vandura g35  2wd
Pontiac,Trans Sport/Montana,trans sport 2wd
Gmc,S15 Cab Chassis,s15 cab chassis 2wd
Mercedes-Benz,S-Class,s500 coupe
Mitsubishi,Diamante,diamante
Honda,Accord,accord wagon
Chevrolet,Pickup 2500,pickup 2500 2wd
Gmc,Suburban,suburban 1500 4wd
Suzuki,X-90,x-90 4wd
Audi,A6,a6 quattro wagon
Volvo,850,850 wagon
Mazda,Mpv,mpv
Ferrari,Ferrari F355/355 F1,ferrari f355/355 f1
Bentley,Continental,continental t
Saturn,Sl,sl
Infiniti,I30,i30
Mazda,B Pickup,b2500/b3000/b4000 2wd
Ford,Windstar,windstar fwd van
Honda,Passport,passport 2wd
Bmw,3 Series,328is
Volkswagen,Passat,passat syncro
Suzuki,Esteem,esteem wagon
Mazda,B Pickup,b2500
Ferrari,360 Modena/Spider,360 modena/spider
Isuzu,Hombre Pickup,hombre pickup 2wd
Mazda,B Pickup,2500 2wd
Isuzu,Hombre Pickup,hombre pickup 4wd
Ferrari,456 Mgt/Mga,456 mgt/mga
Mercedes-Benz,Clk-Class,clk430
Saab,9-5,9-5
Saturn,L100/200,l100/200
Lexus,Rx,rx 300
Dodge,Ram Van 1500,ram van 1500 2wd
Isuzu,Rodeo,rodeo 2wd
Ford,Taurus,taurus ffv
Ford,Explorer,explorer usps 2wd ffv
Porsche,911,911
Mercedes-Benz,E-Class,e55 amg
Lincoln,Blackwood,blackwood 2wd
Ford,Escape,escape 2wd
Chevrolet,Tracker,tracker lt 4wd
Land Rover,Freelander,freelander
Isuzu,Hombre Pickup,hombre pickup 2wd (ffv)
Ford,Ranger,ranger 2wd ffv
Mercedes-Benz,Slk-Class,slk32 amg
Porsche,Turbo Kit,turbo kit
Ford,Focus,focus
Kia,Spectra,spectra
Mercedes-Benz,C-Class,c320
Mercedes-Benz,C-Class,c320 4matic (wagon)
Mazda,B Pickup,b3000 2wd
Ford,Explorer,explorer rwd
Oldsmobile,Ninety-Eight/Touring,ninety-eight/touring
Bmw,M,m4 competition coupe
Bmw,4 Series,430i xdrive gran coupe
Buick,Encore,encore gx fwd
Buick,Encore,encore gx awd
Acura,Mdx,mdx awd type-s
Audi,E-Tron S,e-tron s sportback (21/22 inch wheels)
Buick,Enclave,enclave fwd
Chevrolet,Corvette,corvette z06 carbon aero
Alfa Romeo,Giulia,giulia
Mercedes-Benz,Gls-Class,gls580 4matic
Polestar,2,2 dual motor (19 inch wheels)
Volvo,C40,c40 recharge twin
Rivian,R1S,r1s 20 inch all-terrain dual large
Honda,Pilot,pilot fwd
Kia,Sorento,sorento hybrid fwd
Audi,Q5,q5 s line quattro
Chevrolet,Celebrity,celebrity wagon
Nissan,Sentra,sentra sr
Mercedes-Benz,Glc-Class,glc300
Land Rover,Range Rover,range rover p360 lwb mhev
Genesis,G70,g70 rwd
Lexus,Is,is 350 awd
Ford,Ranger,ranger 4wd
Audi,Q8 E-Tron,q8 sportback e-tron quattro
Porsche,Taycan,taycan performance battery plus
Vinfast,Vf 9,vf 9 plus
Toyota,Prius Prime,prius prime se
Infiniti,Q50,q50 red sport  awd
Bmw,4 Series,430i xdrive coupe
Mercedes-Benz,Eqe,eqe 500 4matic (suv)
Rivian,R1S,r1s dual standard plus (21in)
Rivian,R1S,r1s dual standard plus (22in)
Rivian,R1S,r1s performance dual standard plus (21in)
Buick,Envista,envista
Plymouth,Gran Fury,gran fury
